GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo/org.jacoco.agent,org.jacoco.agent,AgentJar,17,80,2,6,5,25,3,8,1,6
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.controller,TcpClientController,8,54,0,0,1,16,1,4,1,4
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.controller,TcpServerController,20,72,1,5,2,22,2,7,1,5
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.controller,TcpServerController.new Runnable() {...},3,63,0,4,0,12,0,4,0,2
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.controller,TcpClientController.new Runnable() {...},1,18,0,0,0,6,0,2,0,2
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.controller,LocalController,0,50,1,1,0,13,1,4,0,4
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt.controller,TcpConnection,7,97,3,11,1,28,3,10,0,6
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt,JacocoAgent.new Thread() {...},10,0,0,0,3,0,2,0,2,0
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt,JacocoAgent,154,0,8,0,39,0,13,0,8,0
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt,CoverageTransformer,20,124,1,13,4,22,1,12,0,6
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt,JacocoAgent.new IExceptionLogger() {...},6,0,0,0,3,0,2,0,2,0
JaCoCo/org.jacoco.agent.rt,org.jacoco.agent.rt,JacocoAgent.new Object() {...},29,0,0,0,1,0,1,0,1,0
JaCoCo/org.jacoco.ant,org.jacoco.ant,ReportTask,37,275,2,20,9,63,2,21,0,12
JaCoCo/org.jacoco.ant,org.jacoco.ant,ReportTask.SourceFileCollection,8,82,1,7,1,18,1,7,0,4
JaCoCo/org.jacoco.ant,org.jacoco.ant,DumpTask,11,127,1,5,4,36,2,9,1,7
JaCoCo/org.jacoco.ant,org.jacoco.ant,CoverageTask.JavaLikeTaskEnhancer,0,66,1,3,0,18,1,5,0,4
JaCoCo/org.jacoco.ant,org.jacoco.ant,CoverageTask,0,123,0,12,0,27,0,10,0,4
JaCoCo/org.jacoco.ant,org.jacoco.ant,MergeTask,27,172,2,10,2,43,2,9,0,5
